current_speed_kmh,current_delay_min,distance_to_next_station_km,current_position_km,distance_remaining_km,estimated_running_time_min,delay_ratio,train_priority_EXPRESS,train_priority_FREIGHT,train_priority_HIGH_SPEED,train_priority_PASSENGER,has_train_ahead,distance_to_ahead_train_km,ahead_train_speed_kmh,ahead_train_eta_min,expected_clearance_time_min,relative_speed_kmh,closing_speed_kmh,time_to_close_gap_min,headway_margin_min,signal_code,current_headway_min,safe_required_headway_min,platform_available,speed_restriction_kmh,junction_busy,route_blocked,section_occupancy,time_of_day,weather_condition_CLEAR,weather_condition_FOG,weather_condition_RAIN,weather_condition_STORM,speed_mean,speed_std,speed_trend,position_progress_rate,delay_mean,delay_std,delay_trend,conflict,conflict_probability,expected_delay_min
62.6,3.1,26.2,182.5,26.2,25.11,0.123,0.0,0.0,0.0,1.0,1.0,3.82,66.2,3.5,6.6,-3.6,0.0,999.0,18.0,2.0,21.0,3.0,1.0,120.0,0.0,0.0,0.0,20.6,0.0,0.0,1.0,0.0,63.9,0.41,1.0,1.128,3.15,0.05,-0.1,0,0.4907,7.3
32.4,4.6,13.1,139.2,13.1,24.26,0.19,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,6.9,0.0,9.9,3.0,1.0,50.0,0.5,0.5,0.0,13.3,1.0,0.0,0.0,0.0,34.1,5.96,14.6,0.488,4.05,0.55,1.1,0,0.0455,14.9
117.5,18.5,28.9,183.7,28.9,14.76,1.254,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,10.5,0.0,13.5,3.0,0.0,120.0,0.0,0.5,0.0,17.9,0.0,0.0,1.0,0.0,113.5,3.1,7.6,1.927,17.4,1.1,2.2,0,0.0871,24.1
67.6,0.7,17.9,165.5,17.9,15.89,0.044,0.0,0.0,0.0,1.0,1.0,22.28,60.7,22.0,23.6,6.9,6.9,193.74,11.3,0.0,14.3,3.0,1.0,120.0,0.5,0.5,0.0,0.8,1.0,0.0,0.0,0.0,59.2,1.88,-4.6,1.221,1.15,0.45,-0.9,1,0.3368,10.1
62.9,1.4,5.0,227.3,5.0,4.77,0.294,0.0,0.0,0.0,1.0,1.0,5.1,45.3,6.8,10.9,17.6,17.6,17.39,15.8,2.0,18.8,3.0,1.0,80.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,0.0,58.3,4.9,-12.0,1.069,1.15,0.25,0.5,1,0.3511,15.0
95.5,19.7,16.8,43.7,16.8,10.55,1.866,1.0,0.0,0.0,0.0,1.0,0.97,54.8,1.1,3.7,40.7,40.7,1.43,19.6,1.0,22.6,3.0,1.0,120.0,0.0,0.0,0.0,14.3,1.0,0.0,0.0,0.0,98.1,0.41,-1.0,1.606,19.85,0.15,-0.3,1,0.8214,22.0
65.1,18.9,29.8,50.6,29.8,27.47,0.688,0.0,0.0,0.0,1.0,1.0,12.79,36.2,21.2,23.8,28.9,28.9,26.55,15.0,1.0,18.0,3.0,1.0,120.0,0.0,0.0,0.0,1.2,0.0,1.0,0.0,0.0,66.7,5.14,12.6,0.92,17.9,1.0,2.0,1,0.5521,28.6
96.9,1.2,17.4,92.0,17.4,10.77,0.111,1.0,0.0,0.0,0.0,1.0,12.89,49.5,15.6,19.6,47.4,47.4,16.32,6.7,0.0,9.7,3.0,0.5,50.0,0.0,0.0,0.0,9.5,1.0,0.0,0.0,0.0,97.7,0.82,2.0,1.687,0.65,0.55,1.1,0,0.1853,8.9
117.9,0.9,1.1,127.9,1.1,0.56,0.9,1.0,0.0,0.0,0.0,1.0,2.26,115.4,1.2,4.0,2.5,2.5,54.24,7.3,1.0,10.3,3.0,0.0,120.0,0.0,0.5,0.0,21.1,1.0,0.0,0.0,0.0,114.9,2.78,-6.8,1.919,0.75,0.15,0.3,0,0.6576,6.8
141.8,3.3,28.1,232.2,28.1,11.89,0.278,0.0,0.0,1.0,0.0,1.0,14.38,140.0,6.2,7.5,1.8,1.8,479.33,16.0,0.0,19.0,3.0,0.5,50.0,0.0,0.0,0.0,21.2,1.0,0.0,0.0,0.0,140.8,6.04,14.8,2.323,3.95,0.65,-1.3,0,0.1661,4.9
155.1,0.3,7.8,227.7,7.8,3.02,0.099,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,13.3,2.0,16.3,3.0,1.0,160.0,0.0,0.0,0.0,0.8,0.0,0.0,1.0,0.0,154.8,1.71,4.2,2.547,-1.35,1.65,3.3,0,0.1277,10.0
51.7,6.4,21.0,219.2,21.0,24.37,0.263,0.0,1.0,0.0,0.0,1.0,1.81,42.0,2.6,7.2,9.7,9.7,11.2,20.2,2.0,23.2,3.0,1.0,120.0,0.0,0.0,0.0,7.3,1.0,0.0,0.0,0.0,53.2,2.78,6.8,0.916,5.65,0.75,1.5,1,0.7322,18.2
91.9,0.5,15.9,63.4,15.9,10.38,0.048,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,15.6,3.0,18.6,3.0,1.0,120.0,0.0,0.5,0.0,18.2,1.0,0.0,0.0,0.0,91.3,7.76,-19.0,1.427,1.15,0.65,-1.3,0,0.2728,9.7
122.6,0.4,10.4,185.1,10.4,5.09,0.079,1.0,0.0,0.0,0.0,1.0,3.24,112.9,1.7,6.1,9.7,9.7,20.04,8.7,0.0,11.7,3.0,1.0,120.0,0.5,0.0,0.0,19.8,0.0,0.0,1.0,0.0,121.2,5.39,13.2,2.176,0.25,0.15,0.3,0,0.4619,4.5
67.3,4.0,9.2,102.0,9.2,8.2,0.488,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,10.4,2.0,13.4,3.0,0.5,120.0,0.0,0.5,0.0,22.0,1.0,0.0,0.0,0.0,71.7,1.63,4.0,1.132,4.3,0.3,-0.6,1,0.1844,16.2
53.3,19.0,27.9,233.5,27.9,31.41,0.605,0.0,0.0,0.0,1.0,1.0,25.55,31.7,48.4,52.2,21.6,21.6,70.97,7.2,0.0,10.2,3.0,0.5,120.0,0.5,0.5,0.0,21.0,1.0,0.0,0.0,0.0,51.7,0.24,0.6,0.871,18.15,0.85,1.7,1,0.5967,31.9
111.2,3.3,27.4,61.5,27.4,14.78,0.223,1.0,0.0,0.0,0.0,1.0,7.01,84.3,5.0,9.1,26.9,26.9,15.64,6.5,0.0,9.5,3.0,0.0,120.0,0.5,0.0,0.0,4.4,1.0,0.0,0.0,0.0,115.1,0.57,-1.4,1.964,2.75,0.55,1.1,0,0.2519,8.1
59.3,2.6,15.9,43.9,15.9,16.09,0.162,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,13.6,0.0,16.6,3.0,1.0,50.0,0.5,0.0,0.0,10.3,0.0,0.0,0.0,1.0,55.5,0.33,0.8,0.974,1.95,0.65,1.3,0,0.051,13.9
122.2,37.2,8.5,212.2,8.5,4.17,8.913,1.0,0.0,0.0,0.0,1.0,6.11,120.1,3.1,4.2,2.1,2.1,174.57,8.0,0.0,11.0,3.0,1.0,80.0,0.0,0.0,0.0,15.4,0.0,0.0,1.0,0.0,120.4,3.43,-8.4,2.199,37.6,0.4,-0.8,1,0.3843,40.1
138.1,4.6,4.0,182.1,4.0,1.74,2.647,0.0,0.0,1.0,0.0,1.0,9.38,76.4,7.4,10.9,61.7,61.7,9.12,8.6,0.0,11.6,3.0,1.0,120.0,0.0,0.0,0.0,13.6,1.0,0.0,0.0,0.0,135.3,1.06,2.6,2.286,4.65,0.05,-0.1,0,0.269,5.5
116.3,2.8,5.5,207.1,5.5,2.84,0.987,1.0,0.0,0.0,0.0,1.0,16.32,99.2,9.9,13.2,17.1,17.1,57.26,10.9,0.0,13.9,3.0,1.0,120.0,0.0,0.0,0.0,20.3,1.0,0.0,0.0,0.0,120.7,5.88,-14.4,1.978,2.2,0.6,1.2,1,0.1809,11.1
48.8,2.9,16.1,47.9,16.1,19.8,0.147,0.0,0.0,0.0,1.0,1.0,9.43,26.0,21.8,23.0,22.8,22.8,24.82,15.3,0.0,18.3,3.0,1.0,80.0,0.5,0.0,0.0,13.7,0.0,0.0,1.0,0.0,48.7,7.59,18.6,0.75,1.6,1.3,2.6,0,0.3116,12.0
99.8,1.3,9.9,222.4,9.9,5.95,0.218,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,2.6,0.0,5.6,3.0,1.0,120.0,1.0,0.0,0.0,5.3,0.0,1.0,0.0,0.0,105.4,4.25,-10.4,1.705,0.75,0.55,1.1,0,0.204,12.9
84.3,4.3,2.2,172.6,2.2,1.57,2.746,0.0,0.0,0.0,1.0,1.0,2.09,75.9,1.7,5.0,8.4,8.4,14.93,12.3,1.0,15.3,3.0,0.5,120.0,0.0,1.0,0.0,19.9,1.0,0.0,0.0,0.0,87.1,2.53,6.2,1.489,2.6,1.7,3.4,1,0.8776,25.8
77.3,3.5,14.2,166.4,14.2,11.02,0.318,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,20.2,2.0,23.2,3.0,0.5,120.0,0.0,0.0,0.0,9.4,0.0,1.0,0.0,0.0,78.1,1.8,4.4,1.31,4.1,0.6,-1.2,0,0.0756,7.1
88.0,1.9,22.6,149.8,22.6,15.41,0.123,1.0,0.0,0.0,0.0,1.0,7.53,84.2,5.4,6.8,3.8,3.8,118.89,12.4,0.0,15.4,3.0,1.0,80.0,0.0,0.0,0.0,22.1,1.0,0.0,0.0,0.0,89.4,1.55,-3.8,1.616,2.5,0.6,-1.2,0,0.2316,2.5
131.1,1.0,26.9,193.6,26.9,12.31,0.081,0.0,0.0,1.0,0.0,1.0,8.23,104.5,4.7,8.9,26.6,26.6,18.56,16.9,0.0,19.9,3.0,1.0,120.0,0.5,0.0,0.0,19.3,0.0,1.0,0.0,0.0,132.2,0.08,-0.2,2.21,1.75,0.75,-1.5,1,0.4006,8.1
43.2,2.2,18.0,109.7,18.0,25.0,0.088,0.0,1.0,0.0,0.0,1.0,3.03,29.3,6.2,10.9,13.9,13.9,13.08,8.6,1.0,11.6,3.0,1.0,80.0,0.0,0.0,0.0,1.5,1.0,0.0,0.0,0.0,40.5,0.16,0.4,0.736,1.85,0.35,0.7,0,0.3962,7.6
146.0,4.3,22.0,41.9,22.0,9.04,0.476,0.0,0.0,1.0,0.0,1.0,30.01,140.0,12.9,15.7,6.0,6.0,300.1,18.8,1.0,21.8,3.0,1.0,50.0,0.0,0.5,0.0,3.7,0.0,0.0,1.0,0.0,141.2,0.49,1.2,2.597,4.35,0.05,-0.1,1,0.473,18.0
150.3,0.4,11.6,139.4,11.6,4.63,0.086,0.0,0.0,1.0,0.0,1.0,1.51,140.0,0.6,2.1,10.3,10.3,8.8,16.9,2.0,19.9,3.0,1.0,120.0,0.5,0.0,0.0,17.5,1.0,0.0,0.0,0.0,154.3,0.16,0.4,2.521,0.5,0.1,-0.2,1,0.758,11.3
75.0,1.0,15.4,189.5,15.4,12.32,0.081,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,19.1,0.0,22.1,3.0,1.0,120.0,0.0,0.5,0.0,21.1,0.0,0.0,1.0,0.0,77.3,3.92,9.6,1.274,1.6,0.6,-1.2,0,0.0404,1.7
140.4,17.7,22.2,46.9,22.2,9.49,1.866,0.0,0.0,1.0,0.0,1.0,2.58,140.0,1.1,3.2,0.4,0.4,154.8,5.1,0.0,8.1,3.0,1.0,120.0,0.0,0.0,0.0,12.6,0.0,0.0,1.0,0.0,139.5,7.02,-17.2,2.565,16.7,1.0,2.0,1,0.4556,26.9
120.5,4.7,22.1,63.8,22.1,11.0,0.427,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,8.1,0.0,11.1,3.0,0.5,120.0,0.0,0.0,0.0,16.8,1.0,0.0,0.0,0.0,120.0,4.41,10.8,2.093,4.4,0.3,0.6,0,0.0237,7.0
101.9,0.4,13.3,177.2,13.3,7.83,0.051,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,9.7,0.0,12.7,3.0,1.0,30.0,0.0,0.0,0.0,17.4,0.0,1.0,0.0,0.0,99.0,4.74,-11.6,1.668,0.95,0.55,-1.1,0,0.0473,5.5
86.2,7.1,16.8,74.7,16.8,11.69,0.607,1.0,0.0,0.0,0.0,1.0,35.79,54.3,39.5,44.0,31.9,31.9,67.32,7.3,0.0,10.3,3.0,1.0,120.0,0.0,0.0,0.0,11.3,0.0,1.0,0.0,0.0,88.5,3.92,9.6,1.375,6.6,0.5,1.0,1,0.317,15.8
108.2,0.4,27.8,50.8,27.8,15.42,0.026,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,4.4,0.0,7.4,3.0,1.0,120.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,1.0,110.9,0.41,-1.0,1.939,0.0,0.4,0.8,0,0.0371,5.3
83.1,8.1,19.3,223.5,19.3,13.94,0.581,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,15.5,0.0,18.5,3.0,1.0,120.0,0.5,1.0,0.0,19.8,1.0,0.0,0.0,0.0,82.9,7.76,19.0,1.459,8.35,0.25,-0.5,0,0.4422,18.1
119.6,8.3,19.6,48.6,19.6,9.83,0.844,1.0,0.0,0.0,0.0,1.0,4.6,129.5,2.1,5.7,-9.9,0.0,999.0,6.4,0.0,9.4,3.0,1.0,80.0,0.0,0.0,0.0,20.7,1.0,0.0,0.0,0.0,115.6,3.67,9.0,1.726,8.05,0.25,0.5,0,0.2093,11.2
53.1,6.3,23.8,92.6,23.8,26.89,0.234,0.0,1.0,0.0,0.0,1.0,2.32,46.9,3.0,6.6,6.2,6.2,22.45,8.3,1.0,11.3,3.0,1.0,120.0,0.0,0.0,0.0,4.3,0.0,0.0,1.0,0.0,52.7,0.82,-2.0,0.865,5.95,0.35,0.7,0,0.5251,9.7
70.9,7.9,4.3,112.8,4.3,3.64,2.171,0.0,0.0,0.0,1.0,1.0,4.69,43.0,6.5,8.7,27.9,27.9,10.09,8.9,0.0,11.9,3.0,1.0,120.0,1.0,0.5,0.0,10.1,0.0,1.0,0.0,0.0,70.1,3.92,9.6,1.18,8.05,0.15,-0.3,0,0.8307,17.8
126.5,0.6,16.2,124.3,16.2,7.68,0.078,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,11.7,0.0,14.7,3.0,1.0,30.0,0.5,0.5,0.0,23.6,0.0,1.0,0.0,0.0,127.4,0.65,1.6,1.981,0.4,0.2,0.4,0,0.1236,12.8
62.1,7.8,28.8,96.7,28.8,27.83,0.28,0.0,0.0,0.0,1.0,1.0,14.34,63.9,13.5,16.5,-1.8,0.0,999.0,10.8,0.0,13.8,3.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,61.4,2.2,-5.4,1.013,7.7,0.1,0.2,0,0.2169,13.7
96.6,0.9,11.5,229.0,11.5,7.14,0.126,1.0,0.0,0.0,0.0,1.0,0.79,80.9,0.6,2.1,15.7,15.7,3.02,17.8,2.0,20.8,3.0,1.0,120.0,0.0,0.0,0.0,19.4,1.0,0.0,0.0,0.0,93.9,3.1,7.6,1.584,1.3,0.4,-0.8,0,0.8718,3.9
69.1,2.5,9.6,168.1,9.6,8.34,0.3,0.0,1.0,0.0,0.0,1.0,35.18,40.0,52.8,55.3,29.1,29.1,72.54,11.2,2.0,14.2,3.0,1.0,120.0,0.0,0.0,0.0,7.4,1.0,0.0,0.0,0.0,64.6,0.65,-1.6,1.141,2.3,0.2,0.4,0,0.5349,8.9
123.2,17.2,18.4,96.3,18.4,8.96,1.919,1.0,0.0,0.0,0.0,1.0,23.08,82.8,16.7,18.2,40.4,40.4,34.28,3.4,1.0,6.4,3.0,0.5,160.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,120.9,4.57,11.2,2.081,16.9,0.3,0.6,0,0.4258,19.6
132.9,4.2,7.4,95.9,7.4,3.34,1.257,0.0,0.0,1.0,0.0,1.0,7.26,84.4,5.2,6.4,48.5,48.5,8.98,9.7,0.0,12.7,3.0,1.0,80.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,131.5,3.51,-8.6,2.19,3.95,0.25,0.5,0,0.2146,9.7
48.6,20.5,17.1,130.7,17.1,21.11,0.971,0.0,1.0,0.0,0.0,1.0,5.75,28.0,12.3,13.5,20.6,20.6,16.75,10.0,1.0,13.0,3.0,0.5,160.0,0.5,0.0,0.0,3.0,0.0,0.0,1.0,0.0,50.0,0.41,1.0,1.021,21.3,0.8,-1.6,1,0.495,25.4
100.8,0.6,5.5,18.1,5.5,3.27,0.183,1.0,0.0,0.0,0.0,1.0,6.9,70.2,5.9,8.6,30.6,30.6,13.53,15.5,1.0,18.5,3.0,0.5,80.0,0.0,0.0,0.0,11.7,0.0,0.0,1.0,0.0,101.7,0.24,-0.6,1.646,0.2,0.4,0.8,0,0.3279,6.1
87.5,3.9,17.8,232.4,17.8,12.21,0.32,1.0,0.0,0.0,0.0,1.0,0.65,78.5,0.5,4.4,9.0,9.0,4.33,6.3,2.0,9.3,3.0,1.0,120.0,0.0,0.0,0.0,19.7,1.0,0.0,0.0,0.0,86.9,0.08,-0.2,1.424,4.25,0.35,-0.7,1,0.8928,14.1
68.3,0.4,18.5,63.6,18.5,16.25,0.025,0.0,1.0,0.0,0.0,1.0,11.21,49.8,13.5,18.4,18.5,18.5,36.36,5.0,0.0,8.0,3.0,0.5,50.0,0.0,0.0,0.0,4.2,0.0,1.0,0.0,0.0,68.0,1.96,4.8,1.145,-0.45,0.85,1.7,0,0.2969,9.7
46.2,6.0,13.1,177.4,13.1,17.01,0.353,0.0,1.0,0.0,0.0,1.0,5.99,35.4,10.2,13.5,10.8,10.8,33.28,19.7,0.0,22.7,3.0,1.0,120.0,0.0,0.0,0.0,2.4,1.0,0.0,0.0,0.0,45.9,6.29,15.4,0.697,5.3,0.7,1.4,1,0.262,14.3
65.0,0.5,12.1,196.7,12.1,11.17,0.045,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,999.0,13.4,0.0,16.4,3.0,1.0,30.0,0.0,0.0,0.0,11.3,0.0,1.0,0.0,0.0,64.8,2.29,5.6,1.135,0.35,0.15,0.3,0,0.0296,7.5
37.6,1.2,8.1,208.6,8.1,12.93,0.093,0.0,1.0,0.0,0.0,1.0,5.45,41.2,7.9,9.7,-3.6,0.0,999.0,7.0,0.0,10.0,3.0,0.0,160.0,0.0,0.0,0.0,10.9,1.0,0.0,0.0,0.0,41.6,5.72,14.0,0.643,2.35,1.15,-2.3,0,0.1684,0.0
